[26-06-15 14:10:27.725094] Statistics gathering started																			
TIME	EVENT	CALLCNT	FILLCNT	AVGSIZE	MAXSIZE	AVGFULL	MAXFULL	MINFULL	AVGDLL	MAXDLL	AVGTRIP	MAXTRIP	AVGTEAP	MAXTEAP	AVGTSMR	MAXTSMR	MINTSMR		
[14:10:27]	ORDER					518			42		0		0		476				
[14:10:27]	ORDER					323			10		0		0		313				
[14:10:27]	PURCHASE					225			8		0		0		217				
[14:10:27]	SALE					228			6		0		0		222				
[14:10:27]	TRADE					227			21		0		0		206				
[14:10:27]	ORDER					269			7		0		0		262				
[14:10:27]	PURCHASE					218			7		0		0		211				
[14:10:27]	PURCHASE					226			8		0		0		218				
[14:10:27]	ORDER					213			8		0		0		205				
[14:10:27]	TRADE					246			9		0		0		237				
[14:10:27]	SALE					212			6		0		0		206				
[14:10:27]	ORDER					213			5		0		0		208				
[14:10:27]	INFO					209			6		0		0		203				
[14:10:27]	INFO					256			6		0		0		250				
[14:10:27]	ORDER					205			5		0		0		200				
[14:10:27]	TRADE					210			5		0		0		205				
[14:10:27]	SALE					209			6		0		0		203				
[14:10:27]	SALE					204			5		0		0		199				
[14:10:27]	ORDER					215			5		0		0		210				
[14:10:27]	ORDER					210			5		0		0		205				
[14:10:27]	ORDER					214			6		0		0		208				
[14:10:27]	ORDER					212			6		0		0		206				
[14:10:27]	ORDER					273			6		0		0		267				
[14:10:27]	INFO					204			6		0		0		198				
[14:10:27]	PURCHASE					208			4		0		0		204				
[14:10:27]	PURCHASE					215			5		0		0		210				
[14:10:27]	TRADE					258			5		0		0		253				
[14:10:27]	SALE					203			5		0		0		198				
[14:10:27]	INFO					208			5		0		0		203				
[14:10:27]	ORDER					208			4		0		0		204				
[14:10:27]	SALE					205			6		0		0		199				
[14:10:27]	PURCHASE					211			5		0		0		206				
[14:10:27]	ORDER					211			5		0		0		206				
[14:10:27]	TRADE					205			5		0		0		518				
[14:10:27]	PURCHASE					207			5		0		0		323				
[14:10:27]	PURCHASE					272			5		0		0		225				
[14:10:27]	ORDER					212			6		0		0		228				
[14:10:27]	ORDER					204			5		0		0		227				
[14:10:27]	INFO					203			5		0		0		269				
[14:10:27]	INFO					255			4		0		0		218				
[14:10:27]	PURCHASE					206			5		0		0		226				
[14:10:27]	TRADE					201			5		0		0		213				
[14:10:27]	SALE					202			5		0		0		246				
[14:10:27]	ORDER					218			6		0		0		212				
[14:10:27]	ORDER					240			4		0		0		213				
[14:10:27]	TRADE					205			5		0		0		209				
[14:10:27]	INFO					199			5		0		0		256				
[14:10:27]	PURCHASE					203			6		0		0		205				
[14:10:27]	SALE					257			6		0		0		210				
[14:10:27]	TRADE					201			5		0		0		209				
[14:10:27]	ORDER					202			5		0		0		204				
[14:10:27]	ORDER					222			5		0		0		215				
[14:10:27]	ORDER					262			4		0		0		210				
[14:10:27]	INFO					204			5		0		0		214				
[14:10:27]	PURCHASE					197			5		0		0		212				
[14:10:27]	SALE					211			4		0		0		273				
[14:10:27]	ORDER					212			4		0		0		204				
[14:10:27]	INFO					254			6		0		0		208				
[14:10:27]	SALE					202			6		0		0		215				
[14:10:27]	PURCHASE					200			5		0		0		258				
[14:10:27]	PURCHASE					209			5		0		0		203				
[14:10:27]	ORDER					266			5		0		0		208				
[14:10:27]	INFO					198			4		0		0		208				
[14:10:27]	TRADE					208			5		0		0		205				
[14:10:27]	ORDER					205			5		0		0		211				
[14:10:27]	SALE					204			5		0		0		211				
[14:10:27]	SALE					202			5		0		0		212				
[14:10:27]	ORDER					213			4		0		0		204				
[14:10:27]	SALE					201			4		0		0		203				
[14:10:27]	PURCHASE					204			5		0		0		255				
[14:10:27]	TRADE					258			6		0		0		206				
[14:10:27]	ORDER					214			5		0		0		201				
[14:10:27]	ORDER					200			5		0		0		202				
[14:10:27]	SALE					214			5		0		0		218				
[14:10:27]	ORDER					280			6		0		0		240				
[14:10:27]	TRADE					204			6		0		0		205				
[14:10:27]	TRADE					205			5		0		0		199				
[14:10:27]	SALE					201			5		0		0		203				
[14:10:27]	PURCHASE					202			5		0		0		257				
[14:10:27]	PURCHASE					234			5		0		0		201				
[14:10:27]	PURCHASE					202			5		0		0		202				
[14:10:27]	INFO					205			5		0		0		222				
[14:10:27]	TRADE					207			5		0		0		262				
[14:10:27]	SALE					270			5		0		0		204				
[14:10:27]	SALE					209			5		0		0		197				
[14:10:27]	INFO					206			5		0		0		211				
[14:10:27]	ORDER					209			4		0		0		212				
[14:10:27]	SALE					204			5		0		0		254				
[14:10:27]	PURCHASE					210			5		0		0		202				
[14:10:27]	PURCHASE					203			6		0		0		200				
[14:10:27]	TRADE					202			5		0		0		209				
[14:10:27]	SALE					213			5		0		0		266				
[14:10:27]	ORDER					282			6		0		0		198				
[14:10:27]	PURCHASE					216			5		0		0		208				
[14:10:27]	INFO					200			5		0		0		205				
[14:10:27]	ORDER					204			6		0		0		204				
[14:10:27]	SALE					273			4		0		0		202				
[14:10:27]	TRADE					208			5		0		0		213				
[14:10:27]	PURCHASE					202			5		0		0		201				
