ORDER min=169 50%=190 90%=249 99%=271 99.9%=474
ExecTime	TransNo	Weight,%	Percent
170	246	0.0082	0.0082
175	17922	0.5974	0.6056
180	241725	8.0575	8.6631
185	585468	19.5156	28.1787
190	672864	22.4288	50.6075
195	509232	16.9744	67.5819
200	282870	9.429	77.0109
205	119223	3.9741	80.985
210	50358	1.6786	82.6636
215	26217	0.8739	83.5375
220	17262	0.5754	84.1129
225	14007	0.4669	84.5798
230	15906	0.5302	85.11
235	21060	0.702	85.812
240	31035	1.0345	86.8465
245	45300	1.51	88.3565
250	66864	2.2288	90.5853
255	85083	2.8361	93.4214
260	78324	2.6108	96.0322
265	54759	1.8253	97.8575
270	30933	1.0311	98.8886
275	14334	0.4778	99.3664
280	5526	0.1842	99.5506
285	1833	0.0611	99.6117
290	624	0.0208	99.6325
295	228	0.0076	99.6401
300	129	0.0043	99.6444
305	102	0.0034	99.6478
310	90	0.003	99.6508
315	66	0.0022	99.653
320	48	0.0016	99.6546
325	36	0.0012	99.6558
330	6	0.0002	99.656
335	12	0.0004	99.6564
340	9	0.0003	99.6567
345	3	0.0001	99.6568
350	0	0	99.6568
355	0	0	99.6568
360	9	0.0003	99.6571
365	0	0	99.6571
370	0	0	99.6571
375	0	0	99.6571
380	6	0.0002	99.6573
385	21	0.0007	99.658
390	351	0.0117	99.6697
395	783	0.0261	99.6958
400	570	0.019	99.7148
405	147	0.0049	99.7197
410	144	0.0048	99.7245
415	189	0.0063	99.7308
420	282	0.0094	99.7402
425	243	0.0081	99.7483
430	183	0.0061	99.7544
435	201	0.0067	99.7611
440	177	0.0059	99.767
445	276	0.0092	99.7762
450	435	0.0145	99.7907
455	768	0.0256	99.8163
460	873	0.0291	99.8454
465	750	0.025	99.8704
470	549	0.0183	99.8887
475	399	0.0133	99.902
480	207	0.0069	99.9089
485	147	0.0049	99.9138
490	141	0.0047	99.9185
495	75	0.0025	99.921
500	144	0.0048	99.9258
505	207	0.0069	99.9327
510	258	0.0086	99.9413
515	306	0.0102	99.9515
520	315	0.0105	99.962
525	303	0.0101	99.9721
530	252	0.0084	99.9805
535	192	0.0064	99.9869
540	132	0.0044	99.9913
545	90	0.003	99.9943
550	36	0.0012	99.9955
555	9	0.0003	99.9958
560	3	0.0001	99.9959
565	0	0	99.9959
570	0	0	99.9959
575	0	0	99.9959
580	0	0	99.9959
585	0	0	99.9959
590	0	0	99.9959
595	0	0	99.9959
600	0	0	99.9959
605	0	0	99.9959
610	0	0	99.9959
615	0	0	99.9959
620	0	0	99.9959
625	0	0	99.9959
630	0	0	99.9959
635	0	0	99.9959
640	0	0	99.9959
645	0	0	99.9959
650	0	0	99.9959
655	0	0	99.9959
660	0	0	99.9959
665	0	0	99.9959
670	0	0	99.9959
675	3	0.0001	99.996
680	0	0	99.996
685	0	0	99.996
690	0	0	99.996
695	0	0	99.996
700	0	0	99.996
705	0	0	99.996
710	0	0	99.996
715	0	0	99.996
720	0	0	99.996
725	0	0	99.996
730	0	0	99.996
735	0	0	99.996
740	0	0	99.996
745	0	0	99.996
750	0	0	99.996
755	0	0	99.996
760	0	0	99.996
765	0	0	99.996
770	0	0	99.996
775	0	0	99.996
780	0	0	99.996
785	0	0	99.996
790	0	0	99.996
795	0	0	99.996
800	0	0	99.996
805	0	0	99.996
810	0	0	99.996
815	0	0	99.996
820	0	0	99.996
825	0	0	99.996
830	0	0	99.996
835	0	0	99.996
840	0	0	99.996
845	0	0	99.996
850	0	0	99.996
855	0	0	99.996
860	0	0	99.996
865	0	0	99.996
870	3	0.0001	99.9961
875	0	0	99.9961
880	0	0	99.9961
885	0	0	99.9961
890	0	0	99.9961
895	0	0	99.9961
900	0	0	99.9961
905	0	0	99.9961
910	0	0	99.9961
915	0	0	99.9961
920	0	0	99.9961
925	0	0	99.9961
930	0	0	99.9961
935	0	0	99.9961
940	0	0	99.9961
945	0	0	99.9961
950	0	0	99.9961
955	0	0	99.9961
960	0	0	99.9961
965	0	0	99.9961
970	0	0	99.9961
975	0	0	99.9961
980	0	0	99.9961
985	0	0	99.9961
990	0	0	99.9961
995	0	0	99.9961
1000	0	0	99.9961
1005	6	0.0002	99.9963
1010	9	0.0003	99.9966
1015	15	0.0005	99.9971
1020	0	0	99.9971
1025	0	0	99.9971
1030	0	0	99.9971
1035	0	0	99.9971
1040	0	0	99.9971
1045	0	0	99.9971
1050	0	0	99.9971
1055	0	0	99.9971
1060	0	0	99.9971
1065	0	0	99.9971
1070	6	0.0002	99.9973
1075	3	0.0001	99.9974
1080	0	0	99.9974
1085	0	0	99.9974
1090	6	0.0002	99.9976
1095	6	0.0002	99.9978
1100	3	0.0001	99.9979
1105	0	0	99.9979
1110	0	0	99.9979
1115	0	0	99.9979
1120	0	0	99.9979
1125	0	0	99.9979
1130	0	0	99.9979
1135	0	0	99.9979
1140	0	0	99.9979
1145	0	0	99.9979
1150	0	0	99.9979
1155	0	0	99.9979
1160	0	0	99.9979
1165	0	0	99.9979
1170	0	0	99.9979
1175	0	0	99.9979
1180	0	0	99.9979
1185	3	0.0001	99.998
1190	0	0	99.998
1195	0	0	99.998
1200	0	0	99.998
1205	0	0	99.998
1210	0	0	99.998
1215	0	0	99.998
1220	0	0	99.998
1225	0	0	99.998
1230	0	0	99.998
1235	0	0	99.998
1240	0	0	99.998
1245	0	0	99.998
1250	3	0.0001	99.9981
1255	0	0	99.9981
1260	3	0.0001	99.9982
1265	0	0	99.9982
1270	0	0	99.9982
1275	0	0	99.9982
1280	0	0	99.9982
1285	0	0	99.9982
1290	3	0.0001	99.9983
1295	3	0.0001	99.9984
1300	3	0.0001	99.9985
1305	0	0	99.9985
1310	0	0	99.9985
1315	0	0	99.9985
1320	0	0	99.9985
1325	0	0	99.9985
1330	0	0	99.9985
1335	0	0	99.9985
1340	0	0	99.9985
1345	0	0	99.9985
1350	0	0	99.9985
1355	0	0	99.9985
1360	0	0	99.9985
1365	0	0	99.9985
1370	0	0	99.9985
1375	0	0	99.9985
1380	0	0	99.9985
1385	0	0	99.9985
1390	3	0.0001	99.9986
1395	0	0	99.9986
1400	0	0	99.9986
1405	0	0	99.9986
1410	0	0	99.9986
1415	0	0	99.9986
1420	0	0	99.9986
1425	0	0	99.9986
1430	0	0	99.9986
1435	0	0	99.9986
1440	0	0	99.9986
1445	0	0	99.9986
1450	0	0	99.9986
1455	0	0	99.9986
1460	3	0.0001	99.9987
1465	0	0	99.9987
1470	0	0	99.9987
1475	3	0.0001	99.9988
1480	0	0	99.9988
1485	0	0	99.9988
1490	0	0	99.9988
1495	0	0	99.9988
1500	0	0	99.9988
1505	0	0	99.9988
1510	0	0	99.9988
1515	0	0	99.9988
1520	0	0	99.9988
1525	0	0	99.9988
1530	0	0	99.9988
1535	0	0	99.9988
1540	0	0	99.9988
1545	0	0	99.9988
1550	0	0	99.9988
1555	3	0.0001	99.9989
1560	0	0	99.9989
1565	0	0	99.9989
1570	0	0	99.9989
1575	0	0	99.9989
1580	0	0	99.9989
1585	0	0	99.9989
1590	0	0	99.9989
1595	0	0	99.9989
1600	0	0	99.9989
1605	0	0	99.9989
1610	3	0.0001	99.999
1615	0	0	99.999
1620	0	0	99.999
1625	0	0	99.999
1630	0	0	99.999
1635	0	0	99.999
1640	0	0	99.999
1645	0	0	99.999
1650	0	0	99.999
1655	0	0	99.999
1660	0	0	99.999
1665	0	0	99.999
1670	0	0	99.999
1675	0	0	99.999
1680	0	0	99.999
1685	0	0	99.999
1690	3	0.0001	99.9991
1695	0	0	99.9991
1700	0	0	99.9991
1705	0	0	99.9991
1710	0	0	99.9991
1715	0	0	99.9991
1720	0	0	99.9991
1725	0	0	99.9991
1730	0	0	99.9991
1735	0	0	99.9991
1740	0	0	99.9991
1745	0	0	99.9991
1750	0	0	99.9991
1755	0	0	99.9991
1760	0	0	99.9991
1765	0	0	99.9991
1770	0	0	99.9991
1775	0	0	99.9991
1780	0	0	99.9991
1785	0	0	99.9991
1790	0	0	99.9991
1795	0	0	99.9991
1800	0	0	99.9991
1805	0	0	99.9991
1810	0	0	99.9991
1815	0	0	99.9991
1820	0	0	99.9991
1825	0	0	99.9991
1830	0	0	99.9991
1835	0	0	99.9991
1840	0	0	99.9991
1845	0	0	99.9991
1850	3	0.0001	99.9992
1855	0	0	99.9992
1860	0	0	99.9992
1865	0	0	99.9992
1870	0	0	99.9992
1875	0	0	99.9992
1880	0	0	99.9992
1885	0	0	99.9992
1890	0	0	99.9992
1895	0	0	99.9992
1900	0	0	99.9992
1905	0	0	99.9992
1910	0	0	99.9992
1915	0	0	99.9992
1920	0	0	99.9992
1925	0	0	99.9992
1930	0	0	99.9992
1935	0	0	99.9992
1940	0	0	99.9992
1945	0	0	99.9992
1950	0	0	99.9992
1955	0	0	99.9992
1960	0	0	99.9992
1965	0	0	99.9992
1970	0	0	99.9992
1975	0	0	99.9992
1980	0	0	99.9992
1985	0	0	99.9992
1990	0	0	99.9992
1995	0	0	99.9992
2000	0	0	99.9992
2005	0	0	99.9992
2010	0	0	99.9992
2015	0	0	99.9992
2020	0	0	99.9992
2025	0	0	99.9992
2030	0	0	99.9992
2035	0	0	99.9992
2040	0	0	99.9992
2045	0	0	99.9992
2050	0	0	99.9992
2055	0	0	99.9992
2060	0	0	99.9992
2065	0	0	99.9992
2070	0	0	99.9992
2075	0	0	99.9992
2080	0	0	99.9992
2085	0	0	99.9992
2090	0	0	99.9992
2095	0	0	99.9992
2100	0	0	99.9992
2105	0	0	99.9992
2110	0	0	99.9992
2115	0	0	99.9992
2120	0	0	99.9992
2125	0	0	99.9992
2130	0	0	99.9992
2135	0	0	99.9992
2140	0	0	99.9992
2145	0	0	99.9992
2150	0	0	99.9992
2155	0	0	99.9992
2160	0	0	99.9992
2165	0	0	99.9992
2170	0	0	99.9992
2175	0	0	99.9992
2180	0	0	99.9992
2185	0	0	99.9992
2190	0	0	99.9992
2195	0	0	99.9992
2200	0	0	99.9992
2205	0	0	99.9992
2210	0	0	99.9992
2215	0	0	99.9992
2220	0	0	99.9992
2225	0	0	99.9992
2230	0	0	99.9992
2235	0	0	99.9992
2240	0	0	99.9992
2245	0	0	99.9992
2250	0	0	99.9992
2255	0	0	99.9992
2260	0	0	99.9992
2265	0	0	99.9992
2270	0	0	99.9992
2275	0	0	99.9992
2280	0	0	99.9992
2285	0	0	99.9992
2290	0	0	99.9992
2295	0	0	99.9992
2300	0	0	99.9992
2305	0	0	99.9992
2310	0	0	99.9992
2315	0	0	99.9992
2320	0	0	99.9992
2325	0	0	99.9992
2330	0	0	99.9992
2335	0	0	99.9992
2340	0	0	99.9992
2345	0	0	99.9992
2350	0	0	99.9992
2355	0	0	99.9992
2360	0	0	99.9992
2365	0	0	99.9992
2370	0	0	99.9992
2375	0	0	99.9992
2380	0	0	99.9992
2385	0	0	99.9992
2390	0	0	99.9992
2395	0	0	99.9992
2400	0	0	99.9992
2405	0	0	99.9992
2410	0	0	99.9992
2415	0	0	99.9992
2420	0	0	99.9992
2425	0	0	99.9992
2430	0	0	99.9992
2435	0	0	99.9992
2440	0	0	99.9992
2445	0	0	99.9992
2450	0	0	99.9992
2455	0	0	99.9992
2460	0	0	99.9992
2465	0	0	99.9992
2470	0	0	99.9992
2475	0	0	99.9992
2480	0	0	99.9992
2485	0	0	99.9992
2490	0	0	99.9992
2495	0	0	99.9992
2500	0	0	99.9992
2505	0	0	99.9992
2510	0	0	99.9992
2515	0	0	99.9992
2520	0	0	99.9992
2525	0	0	99.9992
2530	0	0	99.9992
2535	0	0	99.9992
2540	0	0	99.9992
2545	0	0	99.9992
2550	0	0	99.9992
2555	0	0	99.9992
2560	0	0	99.9992
2565	0	0	99.9992
2570	0	0	99.9992
2575	0	0	99.9992
2580	0	0	99.9992
2585	0	0	99.9992
2590	0	0	99.9992
2595	0	0	99.9992
2600	0	0	99.9992
2605	0	0	99.9992
2610	0	0	99.9992
2615	0	0	99.9992
2620	0	0	99.9992
2625	0	0	99.9992
2630	0	0	99.9992
2635	0	0	99.9992
2640	0	0	99.9992
2645	0	0	99.9992
2650	0	0	99.9992
2655	0	0	99.9992
2660	0	0	99.9992
2665	0	0	99.9992
2670	0	0	99.9992
2675	0	0	99.9992
2680	0	0	99.9992
2685	0	0	99.9992
2690	0	0	99.9992
2695	0	0	99.9992
2700	0	0	99.9992
2705	0	0	99.9992
2710	0	0	99.9992
2715	0	0	99.9992
2720	0	0	99.9992
2725	0	0	99.9992
2730	0	0	99.9992
2735	0	0	99.9992
2740	0	0	99.9992
2745	0	0	99.9992
2750	0	0	99.9992
2755	0	0	99.9992
2760	0	0	99.9992
2765	0	0	99.9992
2770	0	0	99.9992
2775	0	0	99.9992
2780	0	0	99.9992
2785	0	0	99.9992
2790	0	0	99.9992
2795	0	0	99.9992
2800	0	0	99.9992
2805	0	0	99.9992
2810	0	0	99.9992
2815	0	0	99.9992
2820	0	0	99.9992
2825	0	0	99.9992
2830	0	0	99.9992
2835	0	0	99.9992
2840	0	0	99.9992
2845	0	0	99.9992
2850	0	0	99.9992
2855	0	0	99.9992
2860	0	0	99.9992
2865	0	0	99.9992
2870	0	0	99.9992
2875	0	0	99.9992
2880	0	0	99.9992
2885	0	0	99.9992
2890	0	0	99.9992
2895	0	0	99.9992
2900	0	0	99.9992
2905	0	0	99.9992
2910	0	0	99.9992
2915	0	0	99.9992
2920	0	0	99.9992
2925	0	0	99.9992
2930	0	0	99.9992
2935	0	0	99.9992
2940	0	0	99.9992
2945	0	0	99.9992
2950	0	0	99.9992
2955	0	0	99.9992
2960	0	0	99.9992
2965	0	0	99.9992
2970	0	0	99.9992
2975	0	0	99.9992
2980	0	0	99.9992
2985	0	0	99.9992
2990	0	0	99.9992
2995	0	0	99.9992
3000	0	0	99.9992
3005	0	0	99.9992
3010	0	0	99.9992
3015	0	0	99.9992
3020	0	0	99.9992
3025	0	0	99.9992
3030	0	0	99.9992
3035	0	0	99.9992
3040	0	0	99.9992
3045	0	0	99.9992
3050	0	0	99.9992
3055	0	0	99.9992
3060	0	0	99.9992
3065	0	0	99.9992
3070	0	0	99.9992
3075	0	0	99.9992
3080	0	0	99.9992
3085	0	0	99.9992
3090	0	0	99.9992
3095	0	0	99.9992
3100	0	0	99.9992
3105	0	0	99.9992
3110	0	0	99.9992
3115	0	0	99.9992
3120	0	0	99.9992
3125	0	0	99.9992
3130	0	0	99.9992
3135	0	0	99.9992
3140	0	0	99.9992
3145	0	0	99.9992
3150	0	0	99.9992
3155	0	0	99.9992
3160	0	0	99.9992
3165	0	0	99.9992
3170	0	0	99.9992
3175	0	0	99.9992
3180	0	0	99.9992
3185	0	0	99.9992
3190	0	0	99.9992
3195	0	0	99.9992
3200	0	0	99.9992
3205	0	0	99.9992
3210	0	0	99.9992
3215	0	0	99.9992
3220	0	0	99.9992
3225	0	0	99.9992
3230	0	0	99.9992
3235	0	0	99.9992
3240	0	0	99.9992
3245	0	0	99.9992
3250	0	0	99.9992
3255	0	0	99.9992
3260	0	0	99.9992
3265	0	0	99.9992
3270	0	0	99.9992
3275	0	0	99.9992
3280	0	0	99.9992
3285	0	0	99.9992
3290	0	0	99.9992
3295	0	0	99.9992
3300	0	0	99.9992
3305	0	0	99.9992
3310	0	0	99.9992
3315	0	0	99.9992
3320	0	0	99.9992
3325	0	0	99.9992
3330	0	0	99.9992
3335	0	0	99.9992
3340	0	0	99.9992
3345	0	0	99.9992
3350	0	0	99.9992
3355	0	0	99.9992
3360	0	0	99.9992
3365	0	0	99.9992
3370	0	0	99.9992
3375	0	0	99.9992
3380	0	0	99.9992
3385	0	0	99.9992
3390	0	0	99.9992
3395	0	0	99.9992
3400	0	0	99.9992
3405	0	0	99.9992
3410	0	0	99.9992
3415	0	0	99.9992
3420	0	0	99.9992
3425	0	0	99.9992
3430	0	0	99.9992
3435	0	0	99.9992
3440	0	0	99.9992
